Year,Quarter,Sector,ROE
2011,Q1,AGRO,
2011,Q1,CONSUMP,
2011,Q1,FINCIAL,
2011,Q1,INDUS,
2011,Q1,PROPCON,
2011,Q1,RESOURC,
2011,Q1,SERVICE,
2011,Q1,TECH,
2011,Q1,AGRI,19.66
2011,Q1,FOOD,17.78
2011,Q1,FASHION,9.13
2011,Q1,HOME,11.36
2011,Q1,PERSON,14.69
2011,Q1,BANK,13.91
2011,Q1,FIN,13.32
2011,Q1,INSUR,16.61
2011,Q1,AUTO,7.71
2011,Q1,IMM,18.34
2011,Q1,PAPER,5.21
2011,Q1,PETRO,20.73
2011,Q1,PKG,31.43
2011,Q1,STEEL,-4.6
2011,Q1,CONMAT,23.1
2011,Q1,PROP,10.22
2011,Q1,PF&REIT,
2011,Q1,CONS,
2011,Q1,ENERG,20.23
2011,Q1,MINE,-8.57
2011,Q1,COMM,18.03
2011,Q1,HELTH,17.01
2011,Q1,MEDIA,22.56
2011,Q1,PROF,-10.24
2011,Q1,TOURISM,3.56
2011,Q1,TRANS,3.62
2011,Q1,ETRON,16.25
2011,Q1,ICT,15.63
2011,Q1,MAIIND,13.64
2011,Q1,MEDSIZE,13.64
2011,Q4,AGRO,
2011,Q4,CONSUMP,
2011,Q4,FINCIAL,
2011,Q4,INDUS,
2011,Q4,PROPCON,
2011,Q4,RESOURC,
2011,Q4,SERVICE,
2011,Q4,TECH,
2011,Q4,AGRI,14.33
2011,Q4,FOOD,21.08
2011,Q4,FASHION,6.97
2011,Q4,HOME,10.41
2011,Q4,PERSON,8.73
2011,Q4,BANK,14.12
2011,Q4,FIN,7.46
2011,Q4,INSUR,6.17
2011,Q4,AUTO,-0.96
2011,Q4,IMM,16.76
2011,Q4,PAPER,4.98
2011,Q4,PETRO,11.07
2011,Q4,PKG,20.34
2011,Q4,STEEL,-4.39
2011,Q4,CONMAT,18.4
2011,Q4,PROP,9.39
2011,Q4,PF&REIT,
2011,Q4,CONS,
2011,Q4,ENERG,18.59
2011,Q4,MINE,0.59
2011,Q4,COMM,21.71
2011,Q4,HELTH,18.68
2011,Q4,MEDIA,20.83
2011,Q4,PROF,-7.36
2011,Q4,TOURISM,1.69
2011,Q4,TRANS,-2.04
2011,Q4,ETRON,3.22
2011,Q4,ICT,27.74
2011,Q4,MAIIND,13.51
2011,Q4,MEDSIZE,13.51
2011,Q3,AGRO,
2011,Q3,CONSUMP,
2011,Q3,FINCIAL,
2011,Q3,INDUS,
2011,Q3,PROPCON,
2011,Q3,RESOURC,
2011,Q3,SERVICE,
2011,Q3,TECH,
2011,Q3,AGRI,16.78
2011,Q3,FOOD,20.92
2011,Q3,FASHION,9.57
2011,Q3,HOME,12.46
2011,Q3,PERSON,14.31
2011,Q3,BANK,15.16
2011,Q3,FIN,13.43
2011,Q3,INSUR,18.69
2011,Q3,AUTO,6.82
2011,Q3,IMM,12.53
2011,Q3,PAPER,4.12
2011,Q3,PETRO,31.48
2011,Q3,PKG,30.41
2011,Q3,STEEL,-4.95
2011,Q3,CONMAT,26.0
2011,Q3,PROP,11.68
2011,Q3,PF&REIT,
2011,Q3,CONS,
2011,Q3,ENERG,20.64
2011,Q3,MINE,-9.61
2011,Q3,COMM,20.86
2011,Q3,HELTH,18.85
2011,Q3,MEDIA,24.61
2011,Q3,PROF,-6.91
2011,Q3,TOURISM,11.49
2011,Q3,TRANS,1.67
2011,Q3,ETRON,11.65
2011,Q3,ICT,19.24
2011,Q3,MAIIND,14.99
2011,Q3,MEDSIZE,14.99
2011,Q2,AGRO,
2011,Q2,CONSUMP,
2011,Q2,FINCIAL,
2011,Q2,INDUS,
2011,Q2,PROPCON,
2011,Q2,RESOURC,
2011,Q2,SERVICE,
2011,Q2,TECH,
2011,Q2,AGRI,18.66
2011,Q2,FOOD,18.79
2011,Q2,FASHION,10.58
2011,Q2,HOME,12.69
2011,Q2,PERSON,14.98
2011,Q2,BANK,14.68
2011,Q2,FIN,13.85
2011,Q2,INSUR,18.19
2011,Q2,AUTO,6.6
2011,Q2,IMM,20.61
2011,Q2,PAPER,4.12
2011,Q2,PETRO,22.98
2011,Q2,PKG,33.77
2011,Q2,STEEL,-5.01
2011,Q2,CONMAT,22.79
2011,Q2,PROP,10.86
2011,Q2,PF&REIT,
2011,Q2,CONS,
