Month,Sector,PE,ROE
2010-01,AGRI,9.96,23.71
2010-01,AGRO,,
2010-01,AUTO,,3.69
2010-01,BANK,14.05,11.71
2010-01,COMM,16.83,17.28
2010-01,CONMAT,22.54,18.39
2010-01,CONS,,
2010-01,CONSUMP,,
2010-01,ENERG,25.72,17.49
2010-01,ETRON,11.73,13.63
2010-01,FASHION,19.23,10.44
2010-01,FIN,22.48,7.28
2010-01,FINCIAL,,
2010-01,FOOD,14.82,18.01
2010-01,HELTH,15.24,16.83
2010-01,HOME,11.83,8.55
2010-01,ICT,24.55,14.35
2010-01,IMM,,-5.74
2010-01,INDUS,,
2010-01,INSUR,18.9,13.66
2010-01,MAIIND,,9.1
2010-01,MEDIA,21.5,17.7
2010-01,MEDSIZE,22.33,9.1
2010-01,MINE,,8.77
2010-01,PAPER,34.12,5.82
2010-01,PERSON,11.75,16.01
2010-01,PETRO,51.22,13.21
2010-01,PF&REIT,,
2010-01,PKG,10.16,14.71
2010-01,PROF,,-9.15
2010-01,PROP,14.79,11.98
2010-01,PROPCON,,
2010-01,RESOURC,,
2010-01,SERVICE,,
2010-01,STEEL,,
2010-01,TECH,,
2010-01,TOURISM,,-1.2
2010-01,TRANS,,6.59
2010-02,AGRI,9.09,23.71
2010-02,AGRO,,
2010-02,AUTO,,3.69
2010-02,BANK,13.69,11.71
2010-02,COMM,15.22,17.28
2010-02,CONMAT,13.9,18.39
2010-02,CONS,,
2010-02,CONSUMP,,
2010-02,ENERG,11.84,17.49
2010-02,ETRON,11.8,13.63
2010-02,FASHION,11.99,10.44
2010-02,FIN,16.96,7.28
2010-02,FINCIAL,,
2010-02,FOOD,13.53,18.01
2010-02,HELTH,15.87,16.83
2010-02,HOME,11.79,8.55
2010-02,ICT,19.88,14.35
2010-02,IMM,,-5.74
2010-02,INDUS,,
2010-02,INSUR,17.22,13.66
2010-02,MAIIND,,9.1
2010-02,MEDIA,21.1,17.7
2010-02,MEDSIZE,20.34,9.1
2010-02,MINE,,8.77
2010-02,PAPER,24.13,5.82
2010-02,PERSON,12.05,16.01
2010-02,PETRO,19.42,13.21
2010-02,PF&REIT,,
2010-02,PKG,9.81,14.71
2010-02,PROF,,-9.15
2010-02,PROP,15.01,11.98
2010-02,PROPCON,,
2010-02,RESOURC,,
2010-02,SERVICE,,
2010-02,STEEL,,
2010-02,TECH,,
2010-02,TOURISM,,-1.2
2010-02,TRANS,,6.59
2010-03,AGRI,9.62,23.71
2010-03,AGRO,,
2010-03,AUTO,,3.69
2010-03,BANK,14.33,11.71
2010-03,COMM,16.8,17.28
2010-03,CONMAT,12.84,18.39
2010-03,CONS,,
2010-03,CONSUMP,,
2010-03,ENERG,12.15,17.49
2010-03,ETRON,10.35,13.63
2010-03,FASHION,11.9,10.44
2010-03,FIN,14.63,7.28
2010-03,FINCIAL,,
2010-03,FOOD,12.18,18.01
2010-03,HELTH,15.15,16.83
2010-03,HOME,10.75,8.55
2010-03,ICT,16.54,14.35
2010-03,IMM,,-5.74
2010-03,INDUS,,
2010-03,INSUR,16.28,13.66
2010-03,MAIIND,,9.1
2010-03,MEDIA,17.77,17.7
2010-03,MEDSIZE,17.0,9.1
2010-03,MINE,,8.77
2010-03,PAPER,26.17,5.82
